sampleId,patientId,AR,CCNE1,CDC6,EGFR,FOXA1,MET,VIM,ZEB1,FTO,POLD1,POLD2,POLE,PRIM2,RRM1,RRM2,TYMS
MB-0000,MB-0000,7.2179,5.3412,5.3185,7.9964,7.9538,5.6608,13.386,5.5302,8.074,6.4021,10.4915,6.7115,6.3049,9.6124,5.3373,6.4796
MB-0002,MB-0002,8.0367,5.9622,5.3018,5.8994,11.844,5.2913,12.5581,5.8989,7.6642,6.7048,11.0911,8.7895,6.7522,10.2971,5.5898,7.6563
MB-0005,MB-0005,7.4979,6.401,5.5862,6.1254,11.6982,5.3929,12.6622,6.2451,6.8992,6.23,10.6991,6.4934,6.4102,10.7684,5.8407,7.8305
MB-0006,MB-0006,5.7488,5.9292,5.4012,5.5854,11.8634,5.7619,12.6338,6.0651,7.168,6.2616,10.5502,6.9055,6.2361,10.0041,5.8921,7.9549
MB-0008,MB-0008,6.8804,5.592,5.3996,5.7758,11.625,5.7737,12.0967,5.4358,6.7253,6.6106,10.9895,7.0645,7.0396,9.2366,6.8363,7.9725
MB-0010,MB-0010,7.9301,6.1586,5.7564,5.8813,12.1422,5.3835,12.8854,6.106,7.1663,6.5058,10.7585,6.7932,6.9804,10.7495,6.3668,7.9538
MB-0014,MB-0014,6.8454,5.725,5.6858,5.7434,11.4826,5.8598,12.3655,6.3431,6.5762,5.9454,9.4995,6.0698,6.1691,10.7457,5.6361,6.9267
MB-0020,MB-0020,6.5635,6.6972,5.5073,7.0857,10.6551,5.8803,12.6338,5.8539,7.2223,6.1597,10.5014,6.5009,6.1254,9.9585,6.0083,7.2157
MB-0022,MB-0022,7.1492,5.8776,5.4168,5.852,10.6794,6.1168,12.7219,6.2766,6.7181,6.154,9.781,6.0802,6.4361,10.8177,5.9496,7.7067
MB-0028,MB-0028,7.5815,6.0105,5.7846,5.5023,12.1484,5.4868,11.2357,5.4191,8.0948,6.8916,11.4921,6.7549,6.2821,9.8481,5.8499,8.8455
MB-0035,MB-0035,8.1158,6.4512,5.544,5.4662,12.8045,5.7323,10.6734,5.1975,6.4626,6.8233,11.4683,7.6493,6.5331,10.918,6.4158,6.6976
MB-0036,MB-0036,7.225,5.8521,5.2122,5.7334,11.9917,5.6011,11.6435,5.6524,8.7628,6.3337,11.3156,6.6748,6.2222,10.3122,5.7255,7.9905
MB-0039,MB-0039,7.0614,6.6856,5.4018,5.2229,11.8834,5.356,9.3653,5.3591,8.5231,5.9782,10.1771,6.6216,6.2023,10.7609,5.2583,7.4064
MB-0045,MB-0045,6.1087,6.6772,5.6169,6.6454,7.9128,7.7096,12.5818,5.4635,7.6221,6.5994,10.4927,6.7723,6.6293,10.383,5.9132,8.2456
MB-0046,MB-0046,7.84,6.55,5.4385,5.8252,11.7362,5.5397,11.8082,5.6979,7.3759,7.092,11.0982,7.1418,6.6988,10.383,6.5519,8.7333
MB-0048,MB-0048,7.5865,5.9276,5.4029,6.0526,10.964,6.1163,12.4318,6.3008,6.7826,5.9875,9.7072,6.1585,6.5103,10.4954,5.8285,7.3363
MB-0050,MB-0050,7.6335,5.4618,5.5155,7.0945,11.1881,5.7648,12.4088,5.464,7.8114,6.318,10.9753,6.7017,6.5381,10.0582,5.6486,6.721
MB-0053,MB-0053,6.5247,5.6921,5.4701,5.5468,11.0971,5.7761,11.3753,5.87,6.2464,6.1264,10.8572,6.1132,6.6237,9.9784,5.7984,8.2741
MB-0054,MB-0054,5.6623,6.6477,5.5583,5.3464,10.8227,5.4253,12.26,5.7982,6.819,6.4008,10.5985,5.7521,6.3419,11.0598,6.0069,8.0972
MB-0056,MB-0056,6.3808,6.473,5.4306,5.6968,10.905,5.5805,11.5421,5.6871,7.0285,6.3284,10.3596,5.9052,7.1061,10.9512,6.4259,8.225
MB-0059,MB-0059,8.7609,6.4612,5.542,5.684,11.3812,5.7977,12.4816,5.4643,8.4501,6.552,11.0784,7.0629,6.6695,10.2153,6.2174,7.7351
MB-0060,MB-0060,7.0298,7.797,6.1005,5.7373,11.2013,5.7554,12.3077,5.425,7.4284,7.4767,12.7498,7.3563,7.5709,9.9385,6.7333,9.7484
MB-0062,MB-0062,5.6443,8.1342,5.4671,6.4331,6.4617,7.4243,12.555,5.5584,6.5078,6.4099,11.2098,7.0192,6.7652,10.9287,5.6832,9.5424
MB-0064,MB-0064,7.2037,5.722,5.4651,5.3566,11.8479,5.5531,11.3362,5.738,8.2167,6.4096,10.8189,6.4826,6.2148,11.0935,6.1587,7.8337
MB-0066,MB-0066,8.0291,6.3824,5.713,5.7257,11.6863,5.6245,12.0664,5.6503,6.5159,6.6668,11.032,7.1415,6.6112,9.4091,6.1134,8.002
MB-0068,MB-0068,7.4992,5.6772,5.7071,5.8693,11.7861,6.0915,12.1133,6.2849,7.7567,6.3198,10.6063,6.5531,6.3636,10.7645,5.6675,7.898
MB-0071,MB-0071,7.5028,5.8919,5.6863,6.26,11.3215,6.0769,12.2018,6.2287,6.1454,6.0379,10.4977,6.2314,6.5343,10.8062,5.8306,8.2663
MB-0079,MB-0079,8.2384,6.3907,5.6382,5.6344,10.6909,5.6813,11.9574,5.8326,6.595,6.6468,10.863,6.9255,6.5249,10.8297,6.9868,8.248
MB-0081,MB-0081,6.8941,5.6938,5.1949,5.5692,10.5499,6.0156,12.3001,6.0455,6.0699,6.1107,9.9044,5.8571,6.651,10.8374,5.8094,7.9592
MB-0083,MB-0083,7.0259,5.7081,5.5721,5.7571,11.0723,6.377,12.26,6.1789,7.009,5.9928,9.7315,6.3113,7.2316,11.1235,5.8331,8.1713
MB-0093,MB-0093,6.4526,5.6018,5.458,5.6694,11.0098,5.6493,12.0465,5.7706,6.3694,6.3419,10.1653,6.2496,6.469,11.0551,5.5867,7.8475
MB-0095,MB-0095,8.8049,6.0622,5.5849,5.3397,11.8965,5.3467,11.2763,5.4138,7.1483,6.5932,11.714,6.9055,6.3608,10.3223,6.2068,8.1452
MB-0097,MB-0097,8.2067,6.0389,5.4614,5.3897,12.3007,5.301,11.3299,5.655,7.77,6.499,11.5748,6.858,6.4661,9.513,5.4813,7.4154
MB-0099,MB-0099,7.0295,5.7439,5.3609,5.7045,11.1021,6.0769,12.8178,6.2347,6.8602,6.1036,10.2405,6.2904,6.7339,10.8414,6.0627,8.0715
MB-0100,MB-0100,5.7952,7.9646,5.635,11.7247,6.312,6.0012,12.4547,5.1279,7.583,6.9622,11.7552,6.6465,7.294,10.3576,6.537,10.23
MB-0101,MB-0101,8.0374,6.1713,5.3135,5.967,10.8207,5.5793,12.2338,5.6835,6.4729,6.1667,10.6188,6.8893,6.197,10.0163,5.6515,7.5568
MB-0102,MB-0102,9.2541,6.6416,5.5142,5.7654,11.0529,5.2462,11.8659,5.6146,7.056,6.6837,11.4075,7.0547,6.3027,10.99,5.996,7.477
MB-0106,MB-0106,7.1606,5.8657,5.5847,6.119,11.8027,5.8355,12.2368,5.4924,7.0613,6.9586,10.8457,6.4497,6.151,9.952,5.4354,6.7382
MB-0107,MB-0107,7.6806,7.0155,5.7848,5.9344,11.7786,5.6682,11.2302,5.5906,8.5477,6.8873,11.0101,6.8192,6.8439,10.8948,7.1206,8.8918
MB-0108,MB-0108,5.6901,6.5631,5.5367,5.8938,9.8668,6.3971,11.9715,5.8091,5.968,6.159,9.7724,5.9696,6.4826,9.9028,5.658,8.6745
MB-0109,MB-0109,8.3076,6.4678,5.5544,7.0296,11.4087,5.6372,11.1971,5.2214,7.0147,7,12.0025,6.607,6.5771,10.6248,5.6688,9.6515
MB-0110,MB-0110,6.4828,5.8641,5.4649,7.5016,7.4465,5.7299,13.3038,5.9744,7.191,6.2045,10.5593,6.5849,5.8999,9.9045,5.4819,6.5669
MB-0111,MB-0111,8.43,5.7697,5.6501,6.1563,11.7027,5.4701,13.0585,5.8149,8.6396,6.2964,10.0983,6.588,6.1828,9.9621,5.5357,7.1124
MB-0112,MB-0112,6.3915,5.9405,5.2591,6.0086,11.5134,5.5948,12.3399,5.4057,7.0386,6.3704,10.4827,6.8219,5.7848,10.2556,6.3006,7.0132
MB-0113,MB-0113,8.2336,6.7782,5.6256,6.0296,11.8364,5.4688,12.3208,5.7115,7.7333,6.291,11.1739,6.8389,6.5822,10.0611,5.9677,8.1703
MB-0114,MB-0114,7.8001,6.0167,5.4332,5.8797,11.8886,5.6061,11.6921,5.5903,7.5573,6.4765,11.2833,7.0711,6.5206,10.3374,5.6683,7.5822
MB-0115,MB-0115,5.7853,8.0667,5.7378,6.5306,5.79,5.895,12.7715,5.4496,7.0507,7.0376,10.8681,6.8338,6.7886,9.6408,6.3036,9.0062
MB-0116,MB-0116,7.2742,5.8769,5.4103,6.3147,11.5862,5.7783,12.691,6.0527,7.2725,6.5946,10.4675,6.7137,6.6223,10.5609,6.2091,8.5791
